gas age (a B1950),CH4 (ppbv)
194.417,907
349.004,784
349.382,762
351.595,710
370.178,727
386.1,696
390.08,683
473.595,679
512.812,676
536.004,651
539.237,684
539.855,681
595.43,670
644.197,644
726.456,670
731.305,668
750.701,680
865.05,667
869.81,669
917.726,680
937.734,643
1090.03,664
1099.76,647
1128.55,648
1153.26,640
1162.41,636
1245.71,635
1275.19,633
1290.83,644
1377.75,643
1382.41,629
1396.78,635
1466.72,635
1475.62,650
1625.42,631
1641.95,638
1706.12,632
1728.62,630
1798.5,610
1807.36,623
1849.46,623
1874.36,615
1889.75,623
1950.43,618
1975.33,613
2050.17,613
2126.13,605
2160.55,599
2221.64,604
2265.18,591
2265.36,594
2265.41,609
2413.79,602
2445.48,597
2501.47,595
2516.17,594
2519.09,597
2577.78,593
2607.76,604
2620,592
2662.58,579
2689.65,603
2693.58,590
2797.29,592
2813.25,586
2908.43,590
2914.8,580
2917.62,588
2919.34,583
2925.83,580
2934.22,578
2997.31,577
3022.36,577
3187.28,581
3240.55,573
3280.98,576
3289.47,589
3410.24,568
3520.09,581
3552.6,589
3631.16,573
3682.8,570
3689.51,560
3736.53,575
3777.5,596
3791.57,578
3832.4,578
3837.37,581
3936.36,576
4071.56,574
4094.15,578
4173.24,575
4192.85,549
4199.06,568
4252.98,576
4255.89,563
4311.46,570
4364.86,582
4478.04,577
4481.45,568
4496.18,579
4564.6,584
4578.41,570
4637.64,570
4644.29,568
4645.83,582
4646.33,562
4649.54,580
4743.9,560
4797.9,580
4842.23,560
4902.68,563
4919.49,560
4956.1,570
4971.87,563
5050.66,579
5077.64,570
5086.26,573
5086.42,568
5212.04,561
5287.46,563
5320.62,551
5348.57,553
5354.58,558
5411.78,574
5527.85,561
5529.94,564
5562.81,577
5579.43,565
5656.47,570
5730.43,566
5755.1,580
5838.99,581
5844.43,563
5879.75,568
5886.54,591
5891.51,571
5910.81,578
5918.65,570
5927.09,581
5972.39,584
5994.54,586
6061.97,575
6112.14,570
6171.22,584
6290.52,564
6295.29,602
6328.18,592
6332.36,597
6334.13,581
6345.61,597
6385.23,590
6556.27,590
6561.61,577
6573.18,583
6615.01,592
6657.33,577
6669.1,580
6674.7,581
6727.6,587
6745.76,588
6771.33,617
6801.45,602
6873.02,602
6933.87,599
6949.08,601
6956.33,595
6999.23,607
7037.81,604
7037.97,636
7038.4,603
7059.59,608
7174.82,605
7191.81,633
7224.28,607
7324.56,614
7390.65,631
7394.32,610
7486.07,612
7488.74,607
7515.75,623
7654.75,618
7666.3,618
7709.67,602
7718.48,623
7841.07,612
7847.44,602
7870.12,617
7919.44,625
7922.07,610
7946.48,617
7946.79,617
7951.42,623
7995.18,620
8054.45,619
8079.62,623
8113,620
8133.17,623
8156.61,618
8191.49,620
8192.77,611
8194.29,612
8240,614
8286.83,620
8342.08,598
8350.99,600
8352.15,612
8353.27,589
8353.5,613
8415.38,624
8456.17,660
8484.15,632
8514.81,606
8549.37,626
8573.76,633
8576.73,624
8601,651
8628.24,640
8676.21,642
8694.81,641
8740.59,660
8781.19,647
8781.22,649
8843.76,665
8891.09,648
8898.74,660
8965.16,654
8977.94,654
9032.33,662
9046.56,657
9125.88,671
9132.99,659
9209.58,675
9279.89,676
9285.57,658
9346.92,674
9352.77,657
9395.63,648
9425.91,671
9491.22,664
9517.16,671
9517.41,665
9519.54,664
9520.53,665
9525.94,666
9550,663
9565.56,675
9570.37,671
9571.73,674
9652.17,676
9777.7,675
9864.83,682
9897.8,685
9971.34,689
9978.98,683
10059.6,693
10116.5,676
10133,674
10178.6,670
10186.2,682
10227.4,675
10278.1,685
10343.3,678
10441.6,717
10515.5,698
10640.3,694
10670.1,678
10800.9,682
10801.6,688
10804,672
10825.6,661
10870.8,669
10942.1,652
11065.5,671
11077.3,666
11128.7,685
11157.9,681
11189.6,694
11194.1,673
11227.5,679
11302.8,703
11509.5,650
11516.3,633
11530.5,653
11539.6,654
11540.3,665
11547.9,643
11551.7,559
11646.9,469
11984.5,488
12002.1,468
12137.6,477
12277.5,462
12294.2,483
12421.4,462
12495.8,480
12500.7,467
12554.1,479
12786.2,542
12927.8,651
12936.8,627
13126.3,643
13386.7,610
13412.1,646
13584.3,661
13602.2,662
13711.6,670
13717.6,653
13930.7,646
14064.9,628
14154.7,625
14170.6,619
14224.3,613
14250.6,619
14254.4,623
14259,630
14345.3,612
14572.6,578
14583.5,597
14632.9,569
14803.3,465
14815.6,476
15113.5,461
15132.9,470
15144.4,469
15400.7,459
15634.6,470
15761,476
15915.8,463
15926,451
16039.3,452
16121,441
16126.6,456
16631.6,441
16675.2,438
16686.8,473
16956.9,419
17116.4,424
17140.5,427
17276.7,405
17361.8,409
17372.4,404
17594.3,408
17610.7,381
18099.6,395
18151.7,389
18453.2,371
18593.9,375
18610.6,366
18619.6,384
18872.2,366
19051.1,377
19076.8,371
19417,375
19566.7,371
19580.5,378
19588.7,371
19855.7,373
19865.6,379
20128.3,366
20196.6,358
20209.1,377
20395.3,356
20411.5,351
20781.9,374
21004.5,375
21428.9,384
21429,367
21542,378
21674.6,365
21789.9,354
21930,357
22112.8,357
22206.9,355
22775.3,407
22931.8,385
23000,390
23163.4,390
23386.1,390
23557.8,386
23855.2,398
24120.8,375
24333.9,360
24587.1,373
24985.4,389
25202.4,372
25726.4,370
25985.6,365
26232.5,355
26385.1,364
27090.7,396
27366.6,387
27529.9,386
27616,396
27767.9,406
27935.6,426
28213.5,382
28447,399
28518.5,402
28527.2,414
28920.3,444
29162.3,388
29343.1,368
29784.1,391
30209.9,399
30402.7,392
30868.6,410
31012.2,408
31143.6,392
31487.6,404
31663.7,412
31982.2,427
31987.1,422
31989.4,441
32009.4,457
32217.7,471
32342.5,431
32457.7,452
32503.4,409
32736.8,410
32835.2,405
33020.3,404
33121.5,415
33222.6,432
33283.6,424
33295.6,428
33323.5,440
33371.6,443
33406.5,444
33656.2,461
33907.1,479
33990.4,426
34155.6,415
34234.6,419
34456.8,420
34507.5,430
34537.7,430
34678.1,428
34708.1,447
34733.8,457
34799.6,489
35073.9,519
35080.4,520
35140,513
35212.4,514
35393.1,498
35462.5,492
35540.2,427
35676.1,421
35834.6,444
35947.8,426
36039.3,425
36100.7,441
36149.4,440
36252,441
36456.4,471
36483.2,469
36598.9,494
36713.9,524
37076.4,534
37112.1,534
37180.4,587
37223.8,536
37234.3,548
37333.3,572
37398.6,563
37429.2,580
37548.5,560
37564.3,557
37619,544
37630,547
37679.5,539
37773.9,540
37844.2,481
38091.5,526
38299.1,443
38426,440
38771.2,455
38901.8,441
39061.2,450
39279.3,444
39461.8,427
39620.2,419
39624.9,419
39626.8,411
39712.9,424
39736.4,422
39750.5,414
39815.3,442
39885.5,448
39898.3,440
40034.5,450
40091.6,429
40099,420
40385.7,413
40409.8,419
40550.2,426
40591.8,447
40605.1,422
40685.1,433
40731.8,420
40735.8,434
40750.1,433
40791.5,442
40834.8,457
40860.9,465
40867.4,462
40982.4,465
41009.3,465
41130.5,467
41396.5,458
41694.3,414
41895,429
42016.9,416
42110.9,415
42273.8,456
42541.3,446
42766.8,471
42824.8,470
42931.7,486
43033.7,482
43377.4,463
43432.8,437
43636.7,415
43868.6,411
44213.3,431
44317,427
44496.1,469
44652.8,462
44834.4,490
45081.8,467
45393.6,487
45565.3,499
46031.2,497
46202.3,514
46270.1,499
46552.8,493
46861.6,440
47053.7,432
47086.3,441
47318.4,425
47574.6,437
47955.2,453
48402.3,414
48971.7,435
49301.5,461
49704.5,464
49980.7,434
50144.3,452
50374.5,492
50610.1,470
50872.2,489
51138.9,493
51486.7,510
51753.4,515
52067.8,544
52276.8,517
52562.1,531
52738.8,527
53069.4,567
53248.5,543
53494.5,529
53738.3,530
53863.6,535
54044.5,513
54467.6,438
54574.6,438
54828.3,437
55076.9,462
55619.9,476
55822,514
56082.3,461
56461.1,466
56764.9,534
56779.9,483
57289.9,546
57597.7,550
57811.9,543
57843.1,554
58192,542
58580.7,515
58746,520
59079.5,561
59211.3,554
59355.4,502
59573.2,523
59879.8,454
60101,442
60458.5,435
60676.3,425
61034.9,443
61288.1,426
61654.2,430
61821.7,425
62097.6,412
62174.1,437
62342.5,432
62981.9,431
63338.9,439
63572.8,430
63911.2,444
64191.6,444
64593.2,468
64789.1,484
64916.1,489
65169.8,434
65806.3,440
66161.5,462
66545.9,461
66887.3,457
67401.2,476
67826.3,444
68211.2,461
68429.1,449
68815.3,459
69127.1,453
69509.4,471
69725.3,480
70011.3,451
70321.3,456
70511.3,474
70852,460
71144.2,462
71298.7,450
71542.7,490
71701.5,473
71906.2,470
72021.8,475
72231.4,482
72572,449
72782.1,431
73027.8,432
73305.7,432
73674.6,457
74107.2,453
74346.8,448
74556.2,452
74841.2,451
75069.2,461
75246.6,469
75456.3,467
75705.8,477
75863.2,461
76268.9,416
76649.4,415
76968.7,424
77363.3,438
77723.3,422
77955.9,466
78209.1,442
78492.9,442
78696,472
78939.1,475
79270.3,450
79520.6,463
79716.2,477
79912.2,487
80133,497
80341.5,512
80615.7,515
80743,515
80978.3,536
81152.4,563
81386.8,535
81579,550
81823.3,549
82019.8,548
82321.4,584
82512.7,576
82662.8,595
82815.1,571
83047.7,606
83244.2,617
83372.2,616
83601.8,622
83764.3,629
83959.6,631
84113.9,560
84366.6,515
84570.1,485
84790.4,465
84996,464
85248.1,445
85446.7,450
85764.9,443
86003.4,452
86273.4,454
86581.8,429
86819.2,425
87054.8,468
87348.4,429
87636.5,448
87889.1,446
88278.8,480
88576.8,507
88915.4,502
89161.9,508
